set,n,initial_min,greedy_min,aco_mean_min,aco_std_min,aco_best_min,optimal_min,aco_time_ms,greedy_km,aco_km
small-5,6,57.4067,48.3783,39.2550,0.0000,39.2550,39.2550,7.6244,4.0332,3.2629
medium-8,9,78.6383,70.3350,54.0050,0.0300,53.9900,53.9900,14.8246,5.8646,4.4877
medium-9,10,98.7917,77.9133,61.5908,0.0344,61.5683,61.5683,19.4981,6.4867,5.1098
medium-10,11,108.4517,84.0717,69.3065,1.7018,67.3300,67.3300,23.1509,6.9993,5.7337
medium-11,12,119.5883,82.6550,69.4385,0.9906,68.4550,68.4550,26.3526,6.8727,5.8375
large-12,13,126.7150,75.3933,71.2055,0.7399,69.8600,,34.0388,6.2740,5.9371
large-15,16,341.4567,247.0583,242.6822,1.0761,240.2983,,47.5564,20.5344,20.1975
large-20,21,467.4200,320.9617,263.1075,0.3551,262.8750,,76.7961,26.6781,21.8554
large-25,26,592.1933,323.0467,311.0737,2.3865,308.8633,,128.7898,26.8589,26.1494
